,ISIN,RIC,name,symbol
87,TH0221B10Z05,TH:BTS,BTS GROUP HDG.,BTS
88,TH4447010000,TH:BTSGIF,BTS RAL.MSTI.GW. INFR.,BTSGIF
89,TH0139010001,TH:BUI,BANGKOK UNION IN.,BUI
90,TH0954010Z08,TH:BWG,BETTER WORLD GREEN,BWG
91,TH6066010005,TH:CBG,CARABAO GROUP,CBG
92,TH0639010Z05,TH:CCET,CAL-COMP ELTN.(THAI.),CCET
93,TH0745A10Z03,TH:CCP,CHONBURI CONC.PRODUCT,CCP
94,TH0230A10Z05,TH:CEN,CAPITAL ENGR.NETWORK,CEN
95,TH0176B10Z00,TH:CENTEL,CENTRAL PLAZA HOTEL,CENTEL
96,TH0359A10Z00,TH:CFRESH,SEAFRESH INDUSTRY,CFRESH
97,TH0605A10Y03,TH:CGD,COUNTRY GROUP DEV.,CGD
98,TH5982010008,TH:CGH,COUNTRY GROUP HOLDINGS,CGH
99,TH0321010009,TH:CHARAN,CHARAN INSURANCE,CHARAN
100,TH4539010Z03,TH:CHG,CHULARAT HOSPITAL,CHG
101,TH0300010004,TH:CHOTI,KGHSG.TRDG.FRZ.FOOD,CHOTI
102,TH0696010Z05,TH:CI,CHARN ISSARA DEVELOPMENT,CI
103,TH0041010Y05,TH:CIMBT,CIMB THAI BANK,CIMBT
104,TH0898010002,TH:CITY,CITY STEEL,CITY
105,TH0530010Z06,TH:CK,CH KARNCHANG,CK
106,TH4536010Z09,TH:CKP,CK POWER,CKP
107,TH0317010Z08,TH:CM,CHIANGMAI FRZ.FOODS,CM
108,TH8472010009,TH:CMAN,CHEMEMANORD,CMAN
109,TH0432010Z05,TH:CMR,CHIANG MAI RAM MED.BUS.,CMR
110,TH0216010Z02,TH:CNT,CHRISTIANI & NIELSEN,CNT
111,TH1032010Z02,TH:COL,COL,COL
112,TH6678010005,TH:COM7,COM7,COM7
113,TH8646010000,TH:COTTO,SCG CERAMICSORD,COTTO
114,TH0737010Y08,TH:CPALL,CP ALL,CPALL
115,TH0101A10Z01,TH:CPF,CHAROEN POKPHAND FOODS,CPF
116,TH0290010006,TH:CPH,CASTLE PEAK HOLDINGS,CPH
117,TH0389010Z07,TH:CPI,CHUMPORN PALM OIL IND.,CPI
118,TH0459010Z08,TH:CPL,CPL GROUP,CPL
119,TH0481B10Z00,TH:CPN,CENTRAL PATTANA,CPN
120,TH3769010002,TH:CPNCG,CPN COML.GW.LH.PR.,CPNCG
121,TH8351010005,TH:CPNREIT,CPN RETAIL GROWTH LEASEHOLD REIT,CPNREIT
122,TH8356010000,TH:CPT,CPT DRIVES AND POWER,CPT
123,TH5023010009,TH:CPTGF,C P TOWER GROWTH LEASEHOLD PROPERTY,CPTGF
124,TH9437010001,TH:CPW,COPPERWIRED,CPW
125,TH0970010003,TH:CRANE,CHU KAI,CRANE
126,TH9597010007,TH:CRC,CENTRAL RETAIL CORPORATION,CRC
127,TH0026010007,TH:CSC,CROWN SEAL,CSC
128,TH0881010Z03,TH:CSP,CSP STEEL CENTER,CSP
129,TH0151010004,TH:CSR,CITY SPORTS & RECREATION,CSR
130,TH4747010007,TH:CSS,COMMUNICATION & SYSTEM SOLUTION,CSS
131,TH0998010001,TH:CTARAF,CENTARA H&R.LH.PR.,CTARAF
132,TH0012010Z05,TH:CTW,CHAROONG THAI WIRE CAB.,CTW
133,TH0225A10Z02,TH:CWT,CHAI WATANA TANNERY,CWT
134,TH0278A10Z08,TH:DCC,DYNASTY CERAMIC,DCC
135,TH0794010Z08,TH:DCON,DCON PRODUCTS,DCON
136,TH8365010009,TH:DDD,DO DAY DREAM,DDD
137,TH0528010Z00,TH:DELTA,DELTA ELECTRONICS,DELTA
138,TH0930010002,TH:DEMCO,DEMCO,DEMCO
139,TH5097010000,TH:DIF,DIGITAL TELECOM.IFCF.,DIF
140,TH9301010004,TH:DOHOME,DOHOME,DOHOME
