,Symbol In SET100 Constituent,Company Name,Unnamed: 0,symbol,exchange,industry,sector,name
100,PTG,PTG ENERGY,PTG,PTG,SET,Resources,Energy & Utilities,PTG ENERGY PUBLIC COMPANY LIMITED
101,PTL,POLYPLEX (THAILAND),PTL,PTL,SET,Industrials,Packaging,POLYPLEX (THAILAND) PUBLIC COMPANY LIMITED
102,PTT,PTT,PTT,PTT,SET,Resources,Energy & Utilities,PTT PUBLIC COMPANY LIMITED
103,PTTEP,PTT EXPLORATION & PRDN.,PTTEP,PTTEP,SET,Resources,Energy & Utilities,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED
104,PTTGC,PTT GLOBAL CHEMICAL,PTTGC,PTTGC,SET,Industrials,Petrochemicals & Chemicals,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED
105,QH,QUALITY HOUSES,QH,QH,SET,Property & Construction,Property Development,QUALITY HOUSES PUBLIC COMPANY LIMITED
106,RATCH,RATCH GROUP PCL,RATCH,RATCH,SET,Resources,Energy & Utilities,RATCH GROUP PUBLIC COMPANY LIMITED
107,ROBINS,ROBINSON DEAD - DELIST.20/02/20,ROBINS,ROBINS,SET,Services,Commerce,ROBINSON DEAD - DELIST.20/02/20 Delisted Feb 2020. Become CRC. ROBINS.BK^B20 Delisted
108,RS,RS,RS,RS,SET,Services,Commerce,RS PUBLIC COMPANY LIMITED
109,S,SINGHA ESTATE,S,S,SET,Property & Construction,Property Development,SINGHA ESTATE PUBLIC COMPANY LIMITED
110,SAMART,SAMART,SAMART,SAMART,SET,Technology,Information & Communication Technology,SAMART CORPORATION PUBLIC COMPANY LIMITED
111,SAMTEL,SAMART TELCOMS,SAMTEL,SAMTEL,SET,Technology,Information & Communication Technology,SAMART TELCOMS PUBLIC COMPANY LIMITED
112,SAPPE,SAPPE,SAPPE,SAPPE,SET,Agro & Food Industry,Food & Beverage,SAPPE PUBLIC COMPANY LIMITED
113,SAWAD,SRISAWAD CORPORATION,SAWAD,SAWAD,SET,Financials,Finance & Securities,SRISAWAD CORPORATION PUBLIC COMPANY LIMITED
114,SCB,SIAM COMMERCIAL BANK,SCB,SCB,SET,Financials,Banking,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED
115,SCC,SIAM CEMENT,SCC,SCC,SET,Property & Construction,Construction Materials,THE SIAM CEMENT PUBLIC COMPANY LIMITED
116,SCCC,SIAM CITY CEMENT,SCCC,SCCC,SET,Property & Construction,Construction Materials,SIAM CITY CEMENT PUBLIC COMPANY LIMITED
117,SCN,SCAN INTER,SCN,SCN,SET,Resources,Energy & Utilities,SCAN INTER PUBLIC COMPANY LIMITED
118,SF,SIAM FUTURE DEVELOPMENT,SF,SF,SET,Property & Construction,Property Development,SIAM FUTURE DEVELOPMENT PUBLIC COMPANY LIMITED
119,SGP,SIAMGAS AND PETROCHEM.,SGP,SGP,SET,Resources,Energy & Utilities,SIAMGAS AND PETROCHEMICALS PUBLIC COMPANY LIMITED
120,SIM,SAMART DIGITAL ORS,SIM,SIM,SET,Technology,Information & Communication Technology,SAMART i-Mobile Public Company Limited changed symbol to SDC on 12 Oct 2017.
121,SIRI,SANSIRI,SIRI,SIRI,SET,Property & Construction,Property Development,SANSIRI PUBLIC COMPANY LIMITED
122,SPALI,SUPALAI,SPALI,SPALI,SET,Property & Construction,Property Development,SUPALAI PUBLIC COMPANY LIMITED
123,SPCG,SPCG,SPCG,SPCG,SET,Resources,Energy & Utilities,SPCG PUBLIC COMPANY LIMITED
124,SPRC,STAR PTL.REFN.,SPRC,SPRC,SET,Resources,Energy & Utilities,STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED
125,STA,SRI TRANG AGRO-INDUSTRY,STA,STA,SET,Agro & Food Industry,Agribusiness,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED
126,STEC,SINO-THAI ENGR.CON.,STEC,STEC,SET,Property & Construction,Construction Services,"SINO-THAI ENGINEERING AND CONSTRUCTION PUBLIC CO.,LTD."
127,STPI,STP & I,STPI,STPI,SET,Property & Construction,Construction Services,STP&I PUBLIC COMPANY LIMITED
128,SUPER,SUPER ENERGY CORPORATION,SUPER,SUPER,SET,Resources,Energy & Utilities,SUPER ENERGY CORPORATION PUBLIC COMPANY LIMITED
129,SVI,SVI,SVI,SVI,SET,Technology,Electronic Components,SVI PUBLIC COMPANY LIMITED
130,TASCO,TIPCO ASPHALT,TASCO,TASCO,SET,Property & Construction,Construction Materials,TIPCO ASPHALT PUBLIC COMPANY LIMITED
131,TCAP,THANACHART CAPITAL,TCAP,TCAP,SET,Financials,Banking,THANACHART CAPITAL PUBLIC COMPANY LIMITED
132,THAI,THAI AIRWAYS INTL.,THAI,THAI,SET,Services,Transportation & Logistics,THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED
133,THANI,RATCHTHANI LEASING,THANI,THANI,SET,Financials,Finance & Securities,RATCHTHANI LEASING PUBLIC COMPANY LIMITED
134,THCOM,THAICOM,THCOM,THCOM,SET,Technology,Information & Communication Technology,THAICOM PUBLIC COMPANY LIMITED
135,THREL,THAIRE LIFE ASSURANCE,THREL,THREL,SET,Financials,Insurance,THAIRE LIFE ASSURANCE PUBLIC COMPANY LIMITED
136,TICON,FRASERS PROPERTY PUBLIC,TICON,TICON,SET,Property & Construction,Property Development,Become Fraser Property Thailand (FPT). Change symbol to FPT on 31 Jan 2019.
137,TISCO,TISCO FINANCIAL GROUP,TISCO,TISCO,SET,Financials,Banking,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED
138,TKN,TAOKAENOI FOOD & MKTG.,TKN,TKN,SET,Agro & Food Industry,Food & Beverage,TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED
139,TMB,TMB BANK,TMB,TMB,SET,Financials,Banking,TMB BANK PUBLIC COMPANY LIMITED
140,TOA,TOA PAINT THAILAND,TOA,TOA,SET,Property & Construction,Construction Materials,TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED
141,TOP,THAI OIL,TOP,TOP,SET,Resources,Energy & Utilities,THAI OIL PUBLIC COMPANY LIMITED
142,TPIPL,TPI POLENE,TPIPL,TPIPL,SET,Property & Construction,Construction Materials,TPI POLENE PUBLIC COMPANY LIMITED
143,TPIPP,TPI POLENE POWER,TPIPP,TPIPP,SET,Resources,Energy & Utilities,TPI POLENE POWER PUBLIC COMPANY LIMITED
