Date,High,Low,Open,Close,Volume,Adj Close,Date,Ticker,Sector,Industry,DailyReturn,DailyPriceVariation,PriceStDev-5d,Type
2015-01-05,6.050000190734862,5.949999809265138,6.050000190734862,5.949999809265138,8554100.0,4.3869848251342765,2015-01-05,AP,Property & Construction,Property Development,0.0,0.016806787340397488,0.04472153014850518,Stock
2015-01-06,5.949999809265138,5.800000190734862,5.8499999046325675,5.9000000953674325,14844700.0,4.3501195907592765,2015-01-06,AP,Property & Construction,Property Development,0.008438820425613164,0.025423663746726385,0.03535530534216526,Stock
2015-01-07,6.0999999046325675,5.8499999046325675,5.8499999046325675,6.0,16486200.0,4.423850536346436,2015-01-07,AP,Property & Construction,Property Development,-0.016807102152409787,0.041666666666666664,0.03535530534216526,Stock
2015-01-08,6.199999809265138,6.0999999046325675,6.0999999046325675,6.199999809265138,19493100.0,4.571312427520752,2015-01-08,AP,Property & Construction,Property Development,-0.032789792059302963,0.01612901737240904,0.11726033299845787,Stock
2015-01-09,6.300000190734862,6.1500000953674325,6.25,6.199999809265138,9935600.0,4.571312427520752,2015-01-09,AP,Property & Construction,Property Development,0.0,0.024193564513223558,0.1414212635142987,Stock
2015-01-12,6.3499999046325675,6.0999999046325675,6.199999809265138,6.300000190734862,7944100.0,4.64504337310791,2015-01-12,AP,Property & Construction,Property Development,-0.01600040238550363,0.03968253848113595,0.1643167411342099,Stock
2015-01-13,6.300000190734862,6.199999809265138,6.25,6.300000190734862,5573500.0,4.64504337310791,2015-01-13,AP,Property & Construction,Property Development,0.0,0.015873075943202513,0.1224745650064944,Stock
2015-01-14,6.3499999046325675,6.199999809265138,6.300000190734862,6.25,12556000.0,4.608177185058594,2015-01-14,AP,Property & Construction,Property Development,0.007968199924551443,0.024000015258788778,0.05000019073494086,Stock
2015-01-15,6.4000000953674325,6.25,6.300000190734862,6.300000190734862,14678900.0,4.64504337310791,2015-01-15,AP,Property & Construction,Property Development,-0.007968199924551351,0.023809538226368814,0.044721530148532605,Stock
2015-01-16,6.3499999046325675,6.25,6.3499999046325675,6.25,7810300.0,4.608177185058594,2015-01-16,AP,Property & Construction,Property Development,0.007968199924551443,0.015999984741210796,0.027386232345193145,Stock
2015-01-19,6.3499999046325675,6.25,6.300000190734862,6.300000190734862,6688800.0,4.64504337310791,2015-01-19,AP,Property & Construction,Property Development,-0.007968199924551351,0.015873000254767136,0.027386232345193145,Stock
2015-01-20,6.4000000953674325,6.25,6.300000190734862,6.300000190734862,6479300.0,4.64504337310791,2015-01-20,AP,Property & Construction,Property Development,0.0,0.023809538226368814,0.027386232345193145,Stock
2015-01-21,6.300000190734862,6.0,6.300000190734862,6.0999999046325675,19454500.0,4.497580528259277,2015-01-21,AP,Property & Construction,Property Development,0.0322609081276015,0.0491803599057487,0.08660266426443311,Stock
2015-01-22,6.199999809265138,6.050000190734862,6.1500000953674325,6.1500000953674325,20950400.0,4.534446716308594,2015-01-22,AP,Property & Construction,Property Development,-0.008163341780065817,0.0243901814966254,0.09082960774437925,Stock
2015-01-23,6.25,6.1500000953674325,6.199999809265138,6.199999809265138,12599500.0,4.571312427520752,2015-01-23,AP,Property & Construction,Property Development,-0.008097163962031898,0.01612901737240861,0.08944283372095953,Stock
