Date,High,Low,Open,Close,Volume,Adj Close,Date,Ticker,Sector,Industry,DailyReturn,DailyPriceVariation,PriceStDev-5d
2015-01-05,181.5,179.0,181.0,179.0,5752000.0,138.83845520019528,2015-01-05,SCB,Financials,Banking,0.01662088123604028,0.013966480446927373,2.0493901531909
2015-01-06,176.5,173.5,176.0,175.0,10430400.0,135.73593139648438,2015-01-06,SCB,Financials,Banking,0.022599831917240992,0.017142857142857144,3.7682887362828
2015-01-07,179.0,175.0,175.5,178.0,4456700.0,138.06283569335938,2015-01-07,SCB,Financials,Banking,-0.016997576368571136,0.02247191011235955,3.209361307175603
2015-01-08,182.0,180.0,181.0,182.0,3963800.0,141.1653594970703,2015-01-08,SCB,Financials,Banking,-0.022223136784710235,0.01098901098901099,2.9495762407498294
2015-01-09,184.5,182.0,183.0,184.5,4298800.0,143.10446166992188,2015-01-09,SCB,Financials,Banking,-0.01364277640378649,0.013550135501355014,3.6674241641778864
2015-01-12,184.0,181.5,183.5,181.5,1915600.0,140.7775421142578,2015-01-12,SCB,Financials,Banking,0.016393809775676352,0.013774104683195593,3.718198488515082
2015-01-13,183.0,179.5,180.0,182.0,3008600.0,141.1653594970703,2015-01-13,SCB,Financials,Banking,-0.002751033371889871,0.019230769230769232,2.3291629397695126
2015-01-14,183.0,180.0,183.0,180.0,3787800.0,139.61408996582028,2015-01-14,SCB,Financials,Banking,0.011049836186584935,0.016666666666666666,1.620185174600649
2015-01-15,183.5,180.5,181.0,181.5,2570700.0,140.7775421142578,2015-01-15,SCB,Financials,Banking,-0.008298802814695066,0.01652892561983471,1.6355427233783106
2015-01-16,182.0,180.0,180.5,180.5,2941400.0,140.00190734863278,2015-01-16,SCB,Financials,Banking,0.005524875931969807,0.0110803324099723,0.8215838362552129
2015-01-19,182.5,180.0,181.5,181.0,1721900.0,140.3897705078125,2015-01-19,SCB,Financials,Banking,-0.002766253492890185,0.013812154696132596,0.7905694150394627
2015-01-20,180.0,176.5,178.5,179.0,7921000.0,138.83845520019528,2015-01-20,SCB,Financials,Banking,0.011111225425070849,0.019553072625698324,0.9617692030814213
2015-01-21,181.0,178.0,179.5,179.0,8996200.0,138.83845520019528,2015-01-21,SCB,Financials,Banking,0.0,0.01675977653631285,1.1510864433203507
2015-01-22,181.5,179.0,180.0,181.5,10593300.0,140.7775421142578,2015-01-22,SCB,Financials,Banking,-0.013869847864150502,0.013774104683195593,1.1510864433203507
2015-01-23,187.0,183.0,183.0,187.0,10920700.0,145.0435333251953,2015-01-23,SCB,Financials,Banking,-0.02985296314968116,0.0213903743315508,3.278719262150352
2015-01-26,187.0,184.0,186.0,186.0,7517600.0,144.2678985595703,2015-01-26,SCB,Financials,Banking,0.005361943141385373,0.016129032258064516,3.807886552931381
2015-01-27,189.0,185.5,186.5,187.0,4786100.0,145.0435333251953,2015-01-27,SCB,Financials,Banking,-0.005361943141385399,0.01871657754010695,3.64691650576147
2015-01-28,187.0,185.0,187.0,185.5,4447900.0,143.8800811767578,2015-01-28,SCB,Financials,Banking,0.008053734807096825,0.01078167115902965,2.274862633214433
2015-01-29,186.0,183.0,185.5,183.0,3623300.0,141.9409942626953,2015-01-29,SCB,Financials,Banking,0.013568729206068796,0.01639344262295082,1.6431676725140538
2015-01-30,181.5,179.0,180.0,179.5,7621100.0,139.22628784179688,2015-01-30,SCB,Financials,Banking,0.019310944913087307,0.013927576601671309,3.0124740662776683
2015-02-02,180.0,178.0,179.0,179.0,4445100.0,138.83845520019528,2015-02-02,SCB,Financials,Banking,0.0027894020875785922,0.0111731843575419,3.5461246452988293
2015-02-03,182.5,179.0,179.5,182.0,5370700.0,141.1653594970703,2015-02-03,SCB,Financials,Banking,-0.016620881236040407,0.019230769230769232,2.6598872156533098
2015-02-04,185.5,182.0,184.0,182.5,5056700.0,141.55319213867188,2015-02-04,SCB,Financials,Banking,-0.0027434859457508326,0.019178082191780823,1.8234582528799554
2015-02-05,184.0,181.0,181.0,184.0,4268000.0,142.7166290283203,2015-02-05,SCB,Financials,Banking,-0.008185584586439405,0.016304347826086956,2.1035683967953087
2015-02-06,184.0,181.0,184.0,183.0,1861800.0,141.9409942626953,2015-02-06,SCB,Financials,Banking,0.005449604767564685,0.01639344262295082,1.88414436814058
2015-02-09,181.5,179.0,180.0,179.0,4446500.0,138.83845520019528,2015-02-09,SCB,Financials,Banking,0.02210034700066592,0.013966480446927373,1.88414436814058
2015-02-10,181.0,177.0,178.5,177.0,5867700.0,137.28718566894528,2015-02-10,SCB,Financials,Banking,0.011236073266925752,0.022598870056497175,2.9664793948375876
2015-02-11,181.0,176.0,178.0,180.0,4095500.0,139.61408996582028,2015-02-11,SCB,Financials,Banking,-0.01680711831638129,0.027777777777777776,2.8809720581768987
2015-02-12,181.0,177.5,180.0,179.5,2993300.0,139.22628784179688,2015-02-12,SCB,Financials,Banking,0.0027816429618767705,0.019498607242339833,2.167948338866989
2015-02-13,180.0,178.0,180.0,179.0,4686100.0,138.83845520019528,2015-02-13,SCB,Financials,Banking,0.0027894020875785922,0.0111731843575419,1.1401754250974845
2015-02-16,179.0,177.5,178.0,179.0,1705200.0,138.83845520019528,2015-02-16,SCB,Financials,Banking,0.0,0.008379888268156424,1.1401754250974845
2015-02-17,179.0,176.0,179.0,176.0,3833900.0,136.51152038574222,2015-02-17,SCB,Financials,Banking,0.016901810802603254,0.017045454545454544,1.5652475842486555
2015-02-18,177.0,175.5,176.5,176.5,3096400.0,136.89938354492188,2015-02-18,SCB,Financials,Banking,-0.0028368813351997263,0.0084985835694051,1.6201851746008331
2015-02-19,177.5,176.0,177.0,176.5,3743500.0,136.89938354492188,2015-02-19,SCB,Financials,Banking,0.0,0.0084985835694051,1.474788120374042
2015-02-20,177.0,176.0,177.0,176.0,1372500.0,136.51152038574222,2015-02-20,SCB,Financials,Banking,0.0028368813351997567,0.005681818181818182,1.2549900397997198
2015-02-23,177.0,175.0,177.0,176.0,2483400.0,136.51152038574222,2015-02-23,SCB,Financials,Banking,0.0,0.011363636363636364,0.27386127874638405
2015-02-24,177.5,175.5,175.5,176.0,2699300.0,136.51152038574222,2015-02-24,SCB,Financials,Banking,0.0,0.011363636363636364,0.27386127874638405
2015-02-25,177.5,174.0,177.0,175.5,4315600.0,136.12374877929688,2015-02-25,SCB,Financials,Banking,0.0028449521322313448,0.019943019943019943,0.35355339058852026
2015-02-26,175.0,170.5,175.0,172.0,7029800.0,133.40904235839844,2015-02-26,SCB,Financials,Banking,0.020144566092467495,0.02616279069767442,1.7464249196563943
2015-02-27,172.0,169.5,170.5,169.5,6834100.0,131.46994018554688,2015-02-27,SCB,Financials,Banking,0.014641549992948187,0.014749262536873156,2.928310092868776
2015-03-02,170.5,167.0,170.0,167.5,6259500.0,129.918701171875,2015-03-02,SCB,Financials,Banking,0.011869575555383729,0.020895522388059702,3.6979724174197717
2015-03-03,172.0,167.0,167.5,169.5,6602100.0,131.46994018554688,2015-03-03,SCB,Financials,Banking,-0.011869575555383882,0.029498525073746312,3.074085229787509
2015-03-05,176.0,169.5,170.5,175.0,9637700.0,135.73593139648438,2015-03-05,SCB,Financials,Banking,-0.03193304710300915,0.037142857142857144,2.8853076092503103
2015-03-06,178.5,175.0,175.0,178.5,6179200.0,138.45065307617188,2015-03-06,SCB,Financials,Banking,-0.019802627296179754,0.0196078431372549,4.58257569495557
2015-03-09,178.5,176.5,177.0,178.5,4239800.0,138.45065307617188,2015-03-09,SCB,Financials,Banking,0.0,0.011204481792717087,5.094114250779728
2015-03-10,179.0,175.5,178.5,175.5,4323300.0,136.12374877929688,2015-03-10,SCB,Financials,Banking,0.016949558313773205,0.019943019943019943,3.6810324638607503
2015-03-11,178.5,173.0,175.0,178.0,9031100.0,138.06283569335938,2015-03-11,SCB,Financials,Banking,-0.014144507386164625,0.03089887640449438,1.7102631376476425
2015-03-12,178.5,174.5,178.5,176.5,6190400.0,136.89938354492188,2015-03-12,SCB,Financials,Banking,0.008462673918733728,0.0226628895184136,1.3416407864984916
2015-03-13,178.0,174.5,176.5,175.5,5129400.0,136.12374877929688,2015-03-13,SCB,Financials,Banking,0.005681833467430864,0.019943019943019943,1.3964240043756149
2015-03-16,176.5,172.0,175.5,172.5,4287400.0,133.79684448242188,2015-03-16,SCB,Financials,Banking,0.017241806434505954,0.02608695652173913,2.012461179748991
2015-03-17,174.5,173.0,174.0,173.0,2769200.0,134.18467712402344,2015-03-17,SCB,Financials,Banking,-0.002894358026364526,0.008670520231213872,2.3291629397697453
