Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker,Type
2015-01-05,"2,184.80",2214.76,2218.31,2184.05,1.17B,-1.26,2184.8,1170000000.0,2015-01-05,SET100,StockIndex
2015-01-06,"2,172.92",2157.76,2174.97,2143.05,2.45B,-0.54,2172.92,2450000000.0,2015-01-06,SET100,StockIndex
2015-01-07,"2,211.95",2174.3,2212.06,2172.87,1.95B,1.8,2211.95,1950000000.0,2015-01-07,SET100,StockIndex
2015-01-08,"2,246.20",2236.52,2250.25,2233.87,2.50B,1.55,2246.2,2500000000.0,2015-01-08,SET100,StockIndex
2015-01-09,"2,256.59",2258.22,2260.5,2246.15,1.61B,0.46,2256.59,1610000000.0,2015-01-09,SET100,StockIndex
2015-01-12,"2,259.06",2251.23,2272.32,2242.16,1.64B,0.11,2259.06,1640000000.0,2015-01-12,SET100,StockIndex
2015-01-13,"2,262.87",2240.17,2267.95,2230.14,1.93B,0.17,2262.87,1930000000.0,2015-01-13,SET100,StockIndex
2015-01-14,"2,242.95",2269.62,2285.27,2240.63,1.77B,-0.88,2242.95,1770000000.0,2015-01-14,SET100,StockIndex
2015-01-15,"2,241.16",2252.63,2263.27,2238.89,1.18B,-0.08,2241.16,1180000000.0,2015-01-15,SET100,StockIndex
2015-01-16,"2,231.12",2227.38,2243.44,2225.9,1.20B,-0.45,2231.12,1200000000.0,2015-01-16,SET100,StockIndex
2015-01-19,"2,261.05",2247.85,2261.44,2241.75,1.15B,1.34,2261.05,1150000000.0,2015-01-19,SET100,StockIndex
2015-01-20,"2,258.84",2266.0,2270.84,2252.23,1.70B,-0.1,2258.84,1700000000.0,2015-01-20,SET100,StockIndex
2015-01-21,"2,259.92",2263.21,2266.21,2248.95,2.13B,0.05,2259.92,2130000000.0,2015-01-21,SET100,StockIndex
2015-01-22,"2,301.97",2276.8,2304.03,2270.67,3.95B,1.86,2301.97,3950000000.0,2015-01-22,SET100,StockIndex
2015-01-23,"2,371.13",2318.76,2376.0,2317.5,3.77B,3.0,2371.13,3770000000.0,2015-01-23,SET100,StockIndex
2015-01-26,"2,351.23",2376.54,2392.5,2350.73,2.85B,-0.84,2351.23,2850000000.0,2015-01-26,SET100,StockIndex
2015-01-27,"2,349.92",2351.78,2377.57,2344.76,3.83B,-0.06,2349.92,3830000000.0,2015-01-27,SET100,StockIndex
2015-01-28,"2,352.75",2357.75,2371.25,2337.3,2.43B,0.12,2352.75,2430000000.0,2015-01-28,SET100,StockIndex
2015-01-29,"2,340.88",2351.61,2364.32,2333.79,2.45B,-0.5,2340.88,2450000000.0,2015-01-29,SET100,StockIndex
2015-01-30,"2,330.25",2349.08,2351.76,2330.03,2.23B,-0.45,2330.25,2230000000.0,2015-01-30,SET100,StockIndex
2015-02-02,"2,332.30",2323.97,2335.32,2314.54,1.89B,0.09,2332.3,1890000000.0,2015-02-02,SET100,StockIndex
2015-02-03,"2,368.65",2348.09,2372.35,2347.69,2.62B,1.56,2368.65,2620000000.0,2015-02-03,SET100,StockIndex
2015-02-04,"2,361.21",2392.29,2397.46,2361.21,2.97B,-0.31,2361.21,2970000000.0,2015-02-04,SET100,StockIndex
2015-02-05,"2,373.73",2351.88,2373.73,2340.01,2.04B,0.53,2373.73,2040000000.0,2015-02-05,SET100,StockIndex
2015-02-06,"2,382.15",2384.61,2386.38,2374.07,2.76B,0.35,2382.15,2760000000.0,2015-02-06,SET100,StockIndex
2015-02-09,"2,361.39",2373.95,2383.14,2361.39,4.54B,-0.87,2361.39,4540000000.0,2015-02-09,SET100,StockIndex
2015-02-10,"2,348.48",2359.44,2368.54,2345.86,2.97B,-0.55,2348.48,2970000000.0,2015-02-10,SET100,StockIndex
2015-02-11,"2,364.80",2355.04,2366.76,2330.17,3.38B,0.69,2364.8,3380000000.0,2015-02-11,SET100,StockIndex
2015-02-12,"2,378.64",2365.52,2378.72,2351.75,3.04B,0.59,2378.64,3040000000.0,2015-02-12,SET100,StockIndex
2015-02-13,"2,380.95",2382.85,2387.98,2373.67,2.78B,0.1,2380.95,2780000000.0,2015-02-13,SET100,StockIndex
2015-02-16,"2,367.42",2380.44,2384.61,2367.3,1.96B,-0.57,2367.42,1960000000.0,2015-02-16,SET100,StockIndex
2015-02-17,"2,335.60",2364.83,2369.62,2335.6,2.00B,-1.34,2335.6,2000000000.0,2015-02-17,SET100,StockIndex
2015-02-18,"2,360.74",2340.33,2361.87,2339.44,2.32B,1.08,2360.74,2320000000.0,2015-02-18,SET100,StockIndex
2015-02-19,"2,352.19",2358.68,2366.82,2348.93,2.67B,-0.36,2352.19,2670000000.0,2015-02-19,SET100,StockIndex
2015-02-20,"2,356.59",2357.73,2365.89,2351.97,2.11B,0.19,2356.59,2109999999.9999998,2015-02-20,SET100,StockIndex
2015-02-23,"2,339.69",2364.69,2366.94,2338.79,2.71B,-0.72,2339.69,2710000000.0,2015-02-23,SET100,StockIndex
2015-02-24,"2,348.02",2344.43,2357.91,2342.26,3.05B,0.36,2348.02,3050000000.0,2015-02-24,SET100,StockIndex
2015-02-25,"2,332.57",2351.86,2354.91,2323.53,3.57B,-0.66,2332.57,3570000000.0,2015-02-25,SET100,StockIndex
2015-02-26,"2,342.42",2332.9,2342.43,2298.68,3.80B,0.42,2342.42,3800000000.0,2015-02-26,SET100,StockIndex
2015-02-27,"2,326.59",2335.94,2342.09,2325.38,2.34B,-0.68,2326.59,2340000000.0,2015-02-27,SET100,StockIndex
2015-03-02,"2,319.65",2328.42,2331.78,2304.58,2.81B,-0.3,2319.65,2810000000.0,2015-03-02,SET100,StockIndex
2015-03-03,"2,292.33",2316.57,2320.04,2292.33,2.73B,-1.18,2292.33,2730000000.0,2015-03-03,SET100,StockIndex
2015-03-05,"2,276.35",2287.46,2289.2,2264.33,4.13B,-0.7,2276.35,4130000000.0,2015-03-05,SET100,StockIndex
2015-03-06,"2,300.79",2277.0,2300.86,2273.1,2.27B,1.07,2300.79,2270000000.0,2015-03-06,SET100,StockIndex
2015-03-09,"2,286.74",2285.13,2296.32,2276.39,1.96B,-0.61,2286.74,1960000000.0,2015-03-09,SET100,StockIndex
2015-03-10,"2,239.07",2288.87,2291.67,2239.07,2.16B,-2.08,2239.07,2160000000.0,2015-03-10,SET100,StockIndex
2015-03-11,"2,261.32",2229.41,2261.71,2222.6,2.74B,0.99,2261.32,2740000000.0,2015-03-11,SET100,StockIndex
2015-03-12,"2,259.07",2258.23,2267.4,2241.68,2.16B,-0.1,2259.07,2160000000.0,2015-03-12,SET100,StockIndex
2015-03-13,"2,255.77",2264.8,2273.28,2252.31,1.92B,-0.15,2255.77,1920000000.0,2015-03-13,SET100,StockIndex
2015-03-16,"2,218.43",2243.99,2246.21,2213.63,2.09B,-1.66,2218.43,2089999999.9999998,2015-03-16,SET100,StockIndex
2015-03-17,"2,217.50",2234.54,2238.96,2216.11,2.64B,-0.04,2217.5,2640000000.0,2015-03-17,SET100,StockIndex
2015-03-18,"2,248.01",2219.72,2251.18,2217.4,2.12B,1.38,2248.01,2120000000.0,2015-03-18,SET100,StockIndex
2015-03-19,"2,249.93",2269.19,2269.48,2244.75,1.82B,0.09,2249.93,1820000000.0,2015-03-19,SET100,StockIndex
2015-03-20,"2,248.27",2252.81,2257.73,2227.46,2.61B,-0.07,2248.27,2610000000.0,2015-03-20,SET100,StockIndex
2015-03-23,"2,234.73",2258.22,2263.02,2231.38,2.22B,-0.6,2234.73,2220000000.0,2015-03-23,SET100,StockIndex
2015-03-24,"2,231.26",2232.15,2233.37,2207.06,2.48B,-0.16,2231.26,2480000000.0,2015-03-24,SET100,StockIndex
2015-03-25,"2,227.20",2231.44,2241.02,2227.14,1.56B,-0.18,2227.2,1560000000.0,2015-03-25,SET100,StockIndex
2015-03-26,"2,202.58",2216.42,2227.35,2202.56,1.82B,-1.11,2202.58,1820000000.0,2015-03-26,SET100,StockIndex
2015-03-27,"2,202.41",2199.52,2205.85,2187.2,1.74B,-0.01,2202.41,1740000000.0,2015-03-27,SET100,StockIndex
2015-03-30,"2,203.81",2212.94,2218.33,2202.15,1.54B,0.06,2203.81,1540000000.0,2015-03-30,SET100,StockIndex
2015-03-31,"2,215.40",2212.92,2223.5,2205.64,1.68B,0.53,2215.4,1680000000.0,2015-03-31,SET100,StockIndex
2015-04-01,"2,245.91",2216.14,2246.08,2209.75,2.13B,1.38,2245.91,2130000000.0,2015-04-01,SET100,StockIndex
2015-04-02,"2,256.22",2254.11,2268.21,2243.76,1.89B,0.46,2256.22,1890000000.0,2015-04-02,SET100,StockIndex
2015-04-03,"2,260.92",2260.03,2263.8,2251.94,1.12B,0.21,2260.92,1120000000.0,2015-04-03,SET100,StockIndex
2015-04-07,"2,283.57",2276.24,2293.57,2272.64,1.65B,1.0,2283.57,1650000000.0,2015-04-07,SET100,StockIndex
2015-04-08,"2,274.84",2288.58,2294.62,2274.75,1.66B,-0.38,2274.84,1660000000.0,2015-04-08,SET100,StockIndex
2015-04-09,"2,274.22",2275.71,2283.6,2268.72,1.03B,-0.03,2274.22,1030000000.0,2015-04-09,SET100,StockIndex
2015-04-10,"2,278.68",2278.2,2281.09,2265.4,1.53B,0.2,2278.68,1530000000.0,2015-04-10,SET100,StockIndex
2015-04-16,"2,317.60",2300.87,2317.6,2291.3,1.66B,1.71,2317.6,1660000000.0,2015-04-16,SET100,StockIndex
2015-04-17,"2,310.24",2322.18,2324.96,2310.24,2.79B,-0.32,2310.24,2790000000.0,2015-04-17,SET100,StockIndex
