"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 24, 2020","2,030.61","2,078.14","2,082.73","2,030.61","5.98M","-1.56%"
"Nov 23, 2020","2,062.78","2,025.43","2,066.57","2,022.09","6.88B","2.46%"
"Nov 20, 2020","2,013.16","1,979.88","2,014.64","1,976.41","4.61B","1.62%"
"Nov 19, 2020","1,981.06","1,974.06","1,992.27","1,971.77","3.25B","0.18%"
"Nov 18, 2020","1,977.56","1,944.43","1,977.63","1,936.07","2.93B","1.31%"
"Nov 17, 2020","1,952.02","1,964.58","1,979.05","1,943.65","4.51B","-0.19%"
"Nov 16, 2020","1,955.67","1,972.20","1,980.14","1,955.25","3.96B","0.33%"
"Nov 13, 2020","1,949.24","1,921.36","1,960.16","1,916.30","5.02B","0.87%"
"Nov 12, 2020","1,932.44","1,942.09","1,943.28","1,917.09","3.52B","-1.00%"
"Nov 11, 2020","1,951.97","1,965.49","1,971.62","1,927.30","4.88B","0.36%"
"Nov 10, 2020","1,944.93","1,919.55","1,953.59","1,887.84","7.62B","6.03%"
"Nov 09, 2020","1,834.32","1,825.60","1,850.49","1,819.23","3.83B","2.45%"
"Nov 06, 2020","1,790.47","1,797.60","1,806.80","1,775.40","3.32B","-0.32%"
"Nov 05, 2020","1,796.18","1,744.58","1,801.01","1,741.22","3.55B","4.15%"
"Nov 04, 2020","1,724.65","1,728.68","1,741.48","1,712.73","2.45B","-0.11%"
"Nov 03, 2020","1,726.50","1,705.45","1,728.90","1,705.21","2.59B","1.97%"
"Nov 02, 2020","1,693.19","1,684.88","1,694.71","1,676.13","2.08B","0.62%"
"Oct 30, 2020","1,682.72","1,697.35","1,698.47","1,669.20","2.22B","-0.63%"
"Oct 29, 2020","1,693.32","1,691.70","1,702.56","1,683.75","1.99B","-0.64%"
"Oct 28, 2020","1,704.23","1,704.34","1,721.43","1,700.88","2.24B","-0.22%"
"Oct 27, 2020","1,707.96","1,692.60","1,713.22","1,686.21","1.85B","0.14%"
"Oct 26, 2020","1,705.63","1,714.47","1,717.36","1,700.77","1.48B","-0.61%"
"Oct 22, 2020","1,716.16","1,716.16","1,733.38","1,700.18","2.37B","-0.24%"
"Oct 21, 2020","1,720.22","1,720.60","1,728.76","1,710.42","2.15B","0.60%"
"Oct 20, 2020","1,709.89","1,701.93","1,724.14","1,693.67","1.99B","0.11%"
"Oct 19, 2020","1,708.00","1,725.75","1,727.88","1,700.89","2.36B","-2.09%"
"Oct 16, 2020","1,744.39","1,761.68","1,765.95","1,733.52","2.17B","-0.74%"
"Oct 15, 2020","1,757.31","1,772.64","1,778.99","1,754.12","2.60B","-1.71%"
"Oct 14, 2020","1,787.92","1,797.64","1,800.42","1,777.70","2.35M","-1.00%"
"Oct 12, 2020","1,805.96","1,800.14","1,813.67","1,793.74","2.07M","0.50%"
"Oct 09, 2020","1,796.99","1,814.99","1,817.25","1,791.08","2.52B","-0.60%"
"Oct 08, 2020","1,807.76","1,801.80","1,820.90","1,798.03","3.35B","0.89%"
"Oct 07, 2020","1,791.88","1,764.96","1,793.18","1,759.40","2.43B","1.26%"
"Oct 06, 2020","1,769.60","1,771.57","1,780.04","1,765.46","2.61B","0.73%"
"Oct 05, 2020","1,756.81","1,760.52","1,765.63","1,749.13","1.75B","0.57%"
"Oct 02, 2020","1,746.91","1,763.51","1,764.96","1,737.49","2.29B","-1.24%"
"Oct 01, 2020","1,768.87","1,765.03","1,775.37","1,745.42","2.15B","0.92%"
"Sep 30, 2020","1,752.71","1,788.92","1,791.05","1,751.97","2.02B","-1.86%"
"Sep 29, 2020","1,785.99","1,803.62","1,805.23","1,780.56","1.66B","-0.67%"
"Sep 28, 2020","1,798.11","1,774.80","1,800.43","1,774.64","1.67B","1.90%"
"Sep 25, 2020","1,764.58","1,774.57","1,783.60","1,759.44","1.90B","-0.20%"
"Sep 24, 2020","1,768.11","1,784.38","1,791.41","1,759.95","2.51B","-1.72%"
"Sep 23, 2020","1,799.09","1,814.66","1,816.59","1,795.55","2.28B","-0.54%"
"Sep 22, 2020","1,808.85","1,817.17","1,823.01","1,800.74","1.80B","-0.83%"
"Sep 21, 2020","1,824.00","1,855.58","1,858.65","1,820.59","2.01B","-1.27%"
"Sep 18, 2020","1,847.55","1,847.44","1,855.52","1,834.63","2.50B","0.29%"
"Sep 17, 2020","1,842.24","1,849.75","1,854.63","1,835.01","2.34B","-0.84%"
"Sep 16, 2020","1,857.82","1,846.75","1,861.85","1,841.76","2.26B","0.65%"
"Sep 15, 2020","1,845.89","1,832.40","1,847.62","1,826.86","2.09B","1.14%"
"Sep 14, 2020","1,825.00","1,846.24","1,849.45","1,821.94","1.87B","-0.68%"
"Sep 11, 2020","1,837.44","1,852.30","1,862.33","1,835.72","2.68B","-0.94%"
"Sep 10, 2020","1,854.88","1,861.16","1,867.18","1,847.02","2.33B","-0.21%"
"Sep 09, 2020","1,858.80","1,836.90","1,862.52","1,832.23","2.18B","-0.13%"
"Sep 08, 2020","1,861.17","1,879.07","1,879.48","1,859.04","1.85B","-1.44%"
"Sep 03, 2020","1,888.31","1,900.53","1,904.48","1,882.24","1.67B","-0.34%"
"Sep 02, 2020","1,894.66","1,877.91","1,895.66","1,871.91","1.69B","0.76%"
"Sep 01, 2020","1,880.34","1,892.41","1,897.72","1,872.72","2.01B","-0.43%"
"Aug 31, 2020","1,888.52","1,919.92","1,927.85","1,886.20","2.41B","-1.16%"
"Aug 28, 2020","1,910.78","1,932.30","1,936.91","1,905.07","2.27B","-0.39%"
"Aug 27, 2020","1,918.32","1,911.66","1,927.06","1,908.53","2.30B","0.32%"
"Aug 26, 2020","1,912.29","1,906.69","1,914.90","1,894.18","2.10B","0.43%"
"Aug 25, 2020","1,904.09","1,917.78","1,922.20","1,902.85","2.43B","0.03%"
"Aug 24, 2020","1,903.44","1,884.85","1,905.61","1,873.97","2.37B","1.53%"
"Aug 21, 2020","1,874.74","1,887.73","1,891.28","1,870.17","1.65B","0.08%"
"Aug 20, 2020","1,873.29","1,874.75","1,887.43","1,868.04","2.12B","-1.10%"
"Aug 19, 2020","1,894.14","1,933.46","1,935.39","1,883.82","3.22B","-1.92%"
"Aug 18, 2020","1,931.22","1,916.49","1,931.46","1,916.00","2.23B","0.77%"
"Aug 17, 2020","1,916.38","1,928.38","1,932.16","1,907.11","2.18B","-0.32%"
"Aug 14, 2020","1,922.55","1,950.88","1,954.86","1,918.64","2.33B","-1.57%"
"Aug 13, 2020","1,953.18","1,954.36","1,963.28","1,946.84","3.45B","1.03%"
"Aug 11, 2020","1,933.27","1,928.28","1,944.41","1,924.58","3.14B","1.29%"
"Aug 10, 2020","1,908.57","1,917.17","1,922.27","1,908.37","1.35B","-0.23%"
"Aug 07, 2020","1,912.99","1,924.55","1,926.96","1,907.60","1.84B","-0.77%"
"Aug 06, 2020","1,927.78","1,928.96","1,948.29","1,927.78","2.46B","-0.24%"
"Aug 05, 2020","1,932.47","1,928.93","1,939.69","1,913.80","2.50B","0.54%"
"Aug 04, 2020","1,922.08","1,920.40","1,933.01","1,916.47","2.40B","0.96%"
"Aug 03, 2020","1,903.83","1,914.29","1,915.66","1,891.23","2.22B","-0.95%"
"Jul 31, 2020","1,922.18","1,897.63","1,922.39","1,879.19","2.84B","1.17%"
"Jul 30, 2020","1,899.86","1,947.55","1,951.03","1,895.13","3.79B","-1.99%"
"Jul 29, 2020","1,938.38","1,953.62","1,960.26","1,936.32","2.21B","-0.46%"
"Jul 24, 2020","1,947.28","1,959.04","1,962.40","1,940.01","2.22B","-1.60%"
"Jul 23, 2020","1,978.87","1,975.32","1,986.14","1,960.76","2.57B","0.16%"
"Jul 22, 2020","1,975.74","2,015.03","2,017.40","1,975.35","2.78B","-1.67%"
"Jul 21, 2020","2,009.29","1,994.14","2,013.85","1,992.19","2.86B","1.53%"
"Jul 20, 2020","1,979.01","1,979.63","1,992.55","1,968.94","2.15B","-0.16%"
"Jul 17, 2020","1,982.12","1,971.05","1,985.27","1,964.93","2.16B","0.98%"
"Jul 16, 2020","1,962.90","1,974.46","1,979.76","1,955.25","1.88B","-0.63%"
"Jul 15, 2020","1,975.39","1,970.38","1,981.20","1,959.65","2.62B","1.19%"
"Jul 14, 2020","1,952.19","1,936.66","1,955.21","1,926.21","2.80B","-0.07%"
"Jul 13, 2020","1,953.50","1,986.13","1,988.76","1,948.65","3.44B","-0.71%"
"Jul 10, 2020","1,967.56","1,981.91","1,990.84","1,960.35","2.75B","-1.43%"
"Jul 09, 2020","1,996.13","2,000.28","2,006.54","1,983.91","3.18B","0.19%"
"Jul 08, 2020","1,992.36","2,009.07","2,021.72","1,990.36","2.94B","-0.99%"
"Jul 07, 2020","2,012.33","2,040.23","2,044.93","2,012.26","5.61B","-0.06%"
"Jul 03, 2020","2,013.48","2,023.10","2,027.58","2,010.45","4.92B","-0.25%"
"Jul 02, 2020","2,018.61","1,989.75","2,022.67","1,983.73","3.23B","2.14%"
"Jul 01, 2020","1,976.29","1,969.63","1,977.19","1,945.31","3.27B","0.88%"
"Jun 30, 2020","1,959.01","1,968.84","1,980.18","1,959.01","2.94M","0.75%"
"Jun 29, 2020","1,944.37","1,927.83","1,944.42","1,915.40","2.50B","0.02%"
"Jun 26, 2020","1,943.90","1,953.07","1,965.60","1,939.10","2.46B","0.33%"
"Jun 25, 2020","1,937.53","1,923.66","1,938.57","1,906.41","3.70B","-0.54%"
"Jun 24, 2020","1,948.06","1,994.31","1,999.43","1,947.59","3.73B","-1.88%"
"Jun 23, 2020","1,985.42","1,990.09","1,994.07","1,976.63","2.89B","0.38%"
"Jun 22, 2020","1,977.83","1,989.16","2,004.15","1,970.56","3.45B","-1.48%"
"Jun 19, 2020","2,007.45","2,019.13","2,024.77","2,003.27","3.50B","-0.29%"
"Jun 18, 2020","2,013.38","1,991.12","2,021.16","1,988.87","5.86B","-0.35%"
"Jun 17, 2020","2,020.42","1,997.96","2,029.22","1,990.95","5.07B","0.68%"
"Jun 16, 2020","2,006.81","2,020.12","2,022.86","1,998.43","6.76B","2.18%"
"Jun 15, 2020","1,963.91","2,014.32","2,025.22","1,956.95","6.45B","-3.35%"
"Jun 12, 2020","2,032.00","1,995.82","2,039.23","1,988.17","8.69B","-1.13%"
"Jun 11, 2020","2,055.15","2,082.58","2,096.83","2,035.10","7.77B","-1.78%"
"Jun 10, 2020","2,092.39","2,088.82","2,101.13","2,064.56","3.88B","0.89%"
"Jun 09, 2020","2,074.03","2,123.95","2,140.46","2,062.78","5.60B","-2.41%"
"Jun 08, 2020","2,125.35","2,147.48","2,157.28","2,113.11","5.82B","0.04%"
"Jun 05, 2020","2,124.48","2,091.36","2,130.51","2,069.23","5.74B","1.93%"
"Jun 04, 2020","2,084.30","2,064.35","2,089.40","2,057.37","6.66B","2.85%"
"Jun 02, 2020","2,026.48","2,003.81","2,026.51","1,996.56","5.00B","1.89%"
"Jun 01, 2020","1,988.88","1,994.57","2,005.52","1,983.03","5.44B","0.72%"
"May 29, 2020","1,974.61","1,955.09","1,974.81","1,938.63","5.83B","0.70%"
"May 28, 2020","1,960.86","1,992.41","1,995.63","1,960.86","4.18B","-0.70%"
"May 27, 2020","1,974.78","1,963.55","1,975.71","1,946.37","4.74B","0.74%"
"May 26, 2020","1,960.27","1,961.75","1,977.66","1,954.85","5.65B","1.22%"
"May 25, 2020","1,936.70","1,917.37","1,941.43","1,907.39","4.54B","1.33%"
"May 22, 2020","1,911.21","1,919.66","1,922.61","1,883.78","3.74B","-1.46%"
"May 21, 2020","1,939.50","1,955.71","1,959.92","1,929.34","3.88B","-0.11%"
"May 20, 2020","1,941.71","1,924.54","1,941.73","1,917.17","3.94B","0.99%"
"May 19, 2020","1,922.60","1,924.01","1,938.19","1,914.78","3.87B","1.99%"
"May 18, 2020","1,885.02","1,891.17","1,901.40","1,880.08","2.96B","0.52%"
"May 15, 2020","1,875.19","1,886.93","1,890.25","1,872.63","2.47B","-0.06%"
"May 14, 2020","1,876.37","1,886.50","1,893.20","1,869.35","2.91B","-1.29%"
"May 13, 2020","1,900.80","1,905.49","1,915.99","1,894.11","3.03B","-0.54%"
"May 12, 2020","1,911.06","1,888.55","1,916.11","1,884.80","2.77B","1.02%"
"May 11, 2020","1,891.72","1,876.85","1,903.51","1,875.34","2.70B","1.81%"
"May 08, 2020","1,858.03","1,858.50","1,866.70","1,842.12","2.26B","0.68%"
"May 07, 2020","1,845.47","1,868.73","1,874.67","1,835.28","3.18B","-1.64%"
"May 05, 2020","1,876.24","1,889.62","1,894.15","1,874.44","2.76B","-1.94%"
"Apr 30, 2020","1,913.35","1,905.91","1,913.35","1,896.20","3.59B","1.81%"
"Apr 29, 2020","1,879.33","1,883.13","1,889.62","1,870.47","2.75B","0.50%"
"Apr 28, 2020","1,869.96","1,857.43","1,884.26","1,845.75","2.52B","0.70%"
"Apr 27, 2020","1,857.04","1,863.93","1,866.89","1,842.70","1.69B","0.74%"
"Apr 24, 2020","1,843.41","1,871.71","1,880.28","1,838.62","2.95B","-1.38%"
"Apr 23, 2020","1,869.26","1,863.02","1,879.74","1,851.32","2.91B","0.69%"
"Apr 22, 2020","1,856.46","1,830.05","1,858.97","1,806.46","3.00B","0.73%"
"Apr 21, 2020","1,843.07","1,835.29","1,858.62","1,828.21","2.91B","-1.38%"
