Date,High,Low,Open,Close,Volume,Adj Close,SMA,WMA,ADOSC,ATR,RSI,Actual,Predict
2017-02-16,28.5,28.0,28.25,28.0,11274200.0,25.830093383789066,29.26,29.075806451612902,-6980164.453233987,0.6927949735341353,30.01757774670318,28.25,27.353183935943413
2017-02-17,28.5,28.0,28.25,28.25,12731300.0,26.060718536376953,29.15,28.991397849462366,-7701317.653775603,0.6790239039959828,34.360358274129325,28.0,27.620246998051325
2017-02-20,28.25,28.0,28.25,28.0,3724200.0,25.830093383789066,29.05,28.89731182795699,-8481187.812744841,0.6483793394248412,32.20794059098099,28.25,27.338903363692587
2017-02-21,28.75,28.0,28.25,28.25,11524700.0,26.060718536376953,28.99,28.825806451612902,-9251525.197831213,0.6556379580373525,36.49224491708691,28.0,27.622552190278533
2017-02-22,28.5,28.0,28.5,28.0,9174400.0,25.830093383789066,28.93,28.74462365591398,-11644742.746472806,0.6445209610346845,34.166878120403375,28.0,27.339408797825218
2017-02-23,28.25,28.0,28.25,28.0,7813000.0,25.830093383789066,28.86,28.669354838709676,-14051127.857601374,0.6163408923893499,34.16687812040337,27.75,27.25113067995484
2017-02-24,28.25,27.0,28.25,27.75,25153500.0,25.599468231201172,28.79,28.58440860215054,-12157505.597826585,0.661602257218682,31.815618310166904,26.75,26.98526266839638
2017-02-27,27.5,26.0,27.5,26.75,35713900.0,24.676963806152344,28.67,28.441935483870967,-10277614.164479941,0.7393449531316333,24.540715217956972,27.25,26.256190972011442
2017-02-28,27.25,26.5,26.75,27.25,8488100.0,25.138214111328125,28.57,28.33978494623656,-5873480.017703593,0.7401060279079452,32.813022132332286,27.5,26.86130471054215
2017-03-01,27.75,27.0,27.5,27.5,5986400.0,25.368839263916016,28.47,28.259139784946235,-2902914.8348371983,0.7408127402002348,36.55796948472611,28.0,27.10127171141389
2017-03-02,28.25,27.5,27.75,28.0,14547500.0,25.830093383789066,28.41,28.21505376344086,119134.39162364602,0.7414689730430751,43.358042038365866,27.5,27.633086328221054
