,symbol,exchange,industry,sector,name
2S,2S,MAI,Industrial,-,2S METAL PUBLIC COMPANY LIMITED
3K-BAT,3K-BAT,SET,Industrials,Automotive,THAI ENERGY STORAGE TECHNOLOGY PUBLIC COMPANY LIMITED
7UP,7UP,SET,Resources,Energy & Utilities,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED
A,A,SET,Property & Construction,Property Development,AREEYA PROPERTY PUBLIC COMPANY LIMITED
A5,A5,MAI,Services,-,ASSET FIVE GROUP PUBLIC COMPANY LIMITED
AAV,AAV,SET,Services,Transportation & Logistics,ASIA AVIATION PUBLIC COMPANY LIMITED
ABICO,ABICO,MAI,Agro & Food Industry,-,ABICO HOLDINGS PUBLIC COMPANY LIMITED
ABM,ABM,MAI,Resources,-,ASIA BIOMASS PUBLIC COMPANY LIMITED
ABPIF,ABPIF,SET,Resources,Energy & Utilities,AMATA B. GRIMM POWER POWER PLANT INFRASTRUCTURE FUND
ACAP,ACAP,MAI,Financials,-,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED
ACC,ACC,SET,Consumer Products,Home & Office Products,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED
ACE,ACE,SET,Resources,Energy & Utilities,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED
ACG,ACG,SET,Industrials,Automotive,AUTOCORP HOLDING PUBLIC COMPANY LIMITED
ADB,ADB,MAI,Industrial,-,APPLIED DB PUBLIC COMPANY LIMITED
ADVANC,ADVANC,SET,Technology,Information & Communication Technology,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED
AEC,AEC,SET,Financials,Finance & Securities,AEC SECURITIES PUBLIC COMPANY LIMITED
AEONTS,AEONTS,SET,Financials,Finance & Securities,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED
AF,AF,MAI,Financials,-,AIRA FACTORING PUBLIC COMPANY LIMITED
AFC,AFC,SET,Consumer Products,Fashion,ASIA FIBER PUBLIC COMPANY LIMITED
AGE,AGE,SET,Resources,Energy & Utilities,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED
