,symbol,VA100
406,SPALI,106938.53599999976
407,SPC,384.06499999999835
408,SPCG,14900.74499999999
409,SPF,4486.1770000000015
410,SPG,103.77799999999988
411,SPI,3079.595000000003
412,SPRC,204202.34700000018
413,SQ,16689.088999999876
414,SRICHA,1151.074000000035
415,SRIPANWA,496.36099999999846
416,SSC,36.61300000000048
417,SSF,65.72199999999975
418,SSP,10007.478000000136
419,SSPF,296.70199999999846
420,SSSC,346.7440000000017
421,SST,291.78700000002385
422,SSTRT,88.92599999999962
423,STA,218186.57500000016
424,STANLY,2419.1239999999857
425,STARK,6092.769000000029
426,STEC,343502.69699999975
427,STPI,16260.564999999846
428,SUC,1562.8940000000011
429,SUPER,174614.44999999995
430,SUSCO,3752.605000000071
431,SUTHA,184.3130000000664
432,SVH,616.7439999999993
433,SVI,47855.87999999972
434,SVOA,1892.5489999999784
435,SYMC,93.27900000000454
436,SYNEX,29477.355999999992
437,SYNTEC,23003.290000000103
438,TAE,854.9910000000195
439,TASCO,95829.07600000029
440,TBSP,49.47600000000002
441,TC,172.61099999999757
442,TCAP,149401.22400000037
443,TCC,13171.732000000044
444,TCCC,470.9829999999993
445,TCJ,237.8149999999918
446,TCMC,3622.715999999971
447,TEAM,1350.4870000000278
448,TEAMG,20758.671000000002
449,TFFIF,
450,TFG,4159.073000000205
451,TFI,165.6900000000095
452,TFMAMA,692.5500000000018
453,TGPRO,1128.8169999999502
454,TH,1538.2770000000417
455,THAI,82079.54900000077
456,THANI,77730.13600000017
457,THCOM,17849.60299999979
458,THE,32715.174999999985
459,THG,17348.22599999997
460,THIP,1101.8029999999985
461,THRE,1872.5739999999705
462,THREL,2962.6099999999656
463,TIF1,173.36399999999986
464,TIP,6971.58600000008
465,TIPCO,6838.891000000242
466,TISCO,258487.20699999944
467,TK,2431.508999999989
468,TKN,163811.6729999995
469,TKS,17824.627000000022
470,TKT,614.5259999999812
471,TLGF,16197.657999999985
472,TMB,413394.3450000002
473,TMD,278.1020000000003
474,TMT,1190.139999999979
475,TNITY,215.5770000000007
476,TNPC,188.82799999999878
477,TNR,821.6219999999316
478,TOA,70127.55599999941
479,TOG,336.50199999999387
480,TOP,660374.55
481,TOPP,74.16600000000007
482,TPA,31.292999999992002
483,TPBI,259.0660000000661
484,TPCORP,93.17000000000003
485,TPIPL,39823.45600000032
486,TPIPP,80795.63099999994
487,TPOLY,2402.558999999992
488,TPRIME,2008.8389999999965
489,TQM,
490,TR,714.0169999999988
491,TRC,6769.637000000355
492,TRITN,14082.597999999964
493,TRU,384.8100000000016
494,TRUBB,1723.4470000000094
495,TRUE,562690.3670000021
496,TSC,69.71200000000019
497,TSE,1520.1470000000115
498,TSI,676.2119999999867
499,TSR,2285.0759999999323
500,TSTE,72.70200000000017
501,TSTH,772.2789999999798
502,TTA,11342.608999999678
503,TTCL,30404.72000000026
504,TTW,37713.73300000012
505,TU,184533.1369999996
506,TVI,427.29200000001276
507,TVO,29133.34199999993
508,TWP,265.57600000000554
509,TWPC,2189.862000000015
510,TWZ,2891.304000000081
511,U,20481.87600000011
512,UAC,454.47300000002093
513,UMI,5959.717000000032
514,UNIQ,59385.05399999992
515,UOBKH,128.45399999999916
516,UPOIC,89.70399999999694
517,URBNPF,151.226
518,UTP,11402.655000000052
519,UV,32852.07599999977
520,UVAN,2555.379000000031
521,VGI,109542.43600000002
522,VIBHA,7247.22399999995
523,VIH,3231.407999999985
524,VNG,1340.0469999999082
525,VNT,38397.97999999994
526,VPO,207.80499999992622
527,W,359.4699999999781
528,WACOAL,116.399
529,WG,1995.1969999999994
530,WHA,389277.0730000003
531,WHABT,337.50199999999955
532,WHART,10757.970999999996
533,WHAUP,33882.30899999989
534,WICE,18762.479000000116
535,WIIK,1366.3099999999977
536,WIN,459.8630000000251
537,WORK,93269.50699999993
538,WP,12500.481000000014
539,WPH,1037.1999999999905
540,ZMICO,923.4029999999964
