,symbol,market-cap,VA100
345,QHPF,10440.7,10642.21600000002
361,SABINA,10425.0,24076.115000000005
514,UNIQ,10377.76,59385.053999999924
537,WORK,10288.34,93269.50699999993
164,GGC,10083.11,24787.068000000265
211,JMT,9945.5,35983.62900000005
385,SHANG,9945.0,312.41399999999993
58,BEC,9640.0,57232.20399999988
402,SNP,9562.96,105.93000000000141
354,ROJNA,9496.16,11145.588999999993
99,CMR,9494.56,399.29600000001676
502,TTA,9476.81,11342.608999999678
241,LPN,9296.9,91054.3779999996
416,SSC,8907.66,36.613000000000476
323,PR9,8806.56,
291,NTV,8800.0,1588.8759999999975
436,SYNEX,8781.74,29477.35599999999
259,MC,8720.0,7390.862000000114
235,LHHOTEL,8714.3,1442.3810000000024
228,KYE,8602.0,6426.15900000001
490,TR,8568.0,714.0169999999988
219,KGI,8445.07,10043.746000000016
242,LRH,8167.45,464.7659999999996
40,ASK,8163.98,4132.843999999984
167,GL,8161.63,28661.713000000527
130,DTC,8160.0,6390.770000000002
83,CCET,8061.72,2898.520000000048
327,PRG,8040.0,60.566
368,SAUCE,7920.0,112.47199999999927
395,SKR,7917.34,1482.287000000001
238,LHSC,7906.64,2226.846000000005
398,SMK,7900.0,181.96900000000042
524,VNG,7741.01,1340.0469999999084
197,INOX,7717.75,793.0839999999796
18,ALUCON,7538.39,324.5829999999989
418,SSP,7390.39,10007.478000000136
509,TWPC,7307.49,2189.862000000015
213,JWD,7140.0,19209.394000000084
61,BGC,7083.32,
488,TPRIME,6898.5,2008.8389999999965
489,TQM,6840.0,
268,MILL,6716.4,7191.121999999952
399,SMPC,6693.82,2252.920999999969
457,THCOM,6631.42,17849.60299999979
427,STPI,6598.23,16260.564999999846
1,A,6517.0,278.64999999999986
367,SAT,6505.46,17970.53299999996
72,BOFFICE,6492.9,3704.1720000000105
110,CPNCG,6484.91,2918.967000000001
288,NOBLE,6481.89,3980.6429999999878
41,ASP,6443.31,11769.263
308,PF,6414.19,60447.20100000009
363,SAMART,6391.3,18112.252999999862
317,POPF,6357.62,4687.728999999997
188,HUMAN,6324.0,18853.830999999893
