,symbol,market-cap,VA100
0,7UP,1333.02,4087.8110000000042
1,A,6517.0,278.64999999999986
2,AAV,20369.99,64606.73799999942
3,ABPIF,3690.0,2412.2539999999954
4,ACC,684.96,319.3710000000118
5,ADVANC,512858.8,999060.3859999978
6,AEC,599.88,180.6860000000177
7,AEONTS,45499.96,93886.64399999993
8,AFC,414.73,74.17599999999914
9,AH,6129.07,24943.67300000002
10,AHC,2653.39,347.35000000000605
11,AIMIRT,1581.0,2140.1670000000017
12,AIT,4064.52,4524.938000000017
13,AJ,3255.43,1104.1710000000348
14,AJA,1102.48,2942.498999999803
15,AKR,1061.2,3812.8049999999157
16,ALLA,816.0,3764.163000000011
17,ALT,2905.77,928.6290000001284
18,ALUCON,7538.39,324.5829999999989
19,AMANAH,1307.71,18100.68999999998
20,AMARIN,4751.82,325.01399999999774
21,AMATA,22859.41,488659.2850000004
22,AMATAR,22859.41,90368.70300000008
23,AMATAV,4151.39,3255.687999999989
24,AMC,844.97,293.3720000000086
25,ANAN,10798.9,54614.32100000024
26,AOT,917855.9,1467982.0339999988
27,AP,18875.35,86989.55599999987
28,APCO,2400.0,680.0859999999843
29,APCS,3154.8,997.011000000002
30,APEX,799.96,239.53900000001
31,APURE,1169.08,1459.91500000004
32,AQ,1706.5,1154.6489999999014
33,AQUA,1791.27,6612.885000000021
34,AS,319.7,60.30700000002521
35,ASAP,2236.08,21859.36000000005
36,ASEFA,2629.0,1168.4269999997978
37,ASIA,2048.0,249.8139999999985
38,ASIAN,3717.68,68663.86000000022
39,ASIMAR,483.0,799.447000000041
40,ASK,8163.98,4132.843999999984
41,ASP,6443.31,11769.263
42,AYUD,11756.21,3384.4100000000108
43,BWORK,3946.16,2650.2040000000025
44,B,348.7,807.0500000001366
45,B52,331.88,290.78900000010975
46,BA,24360.0,25717.794999999933
47,BAFS,20878.0,5099.23900000001
48,BANPU,76396.38,695842.5159999984
49,BAT3K,4560.0,138.7830000000291
50,BAY,281357.8,14457.838000000005
51,BBL,387494.8,770077.7549999991
52,BCH,41645.56,218559.20800000025
53,BCP,43717.26,98223.66699999961
54,BCPG,30351.77,234037.3579999997
55,BCT,13650.0,1284.0950000000053
56,BDMS,388590.1,724780.7959999986
57,BEAUTY,19690.7,1221160.081999999
58,BEC,9640.0,57232.20399999988
59,BEM,148264.4,392615.9960000008
60,BFIT,3726.43,4989.386999999979
61,BGC,7083.32,
62,BGRIM,69082.81,190810.39100000059
63,BH,136640.8,260979.07999999984
64,BIG,4234.65,17256.349999999817
65,BJC,203136.6,329733.90099999914
66,BJCHI,2960.0,1759.2709999999252
67,BKD,3443.87,1784.664000000016
68,BKI,35028.65,1912.6010000000056
69,BKKCP,1250.0,248.218
70,BLA,44823.59,43766.03200000009
71,BLAND,28080.85,51137.83100000047
72,BOFFICE,6492.9,3704.1720000000105
73,BPP,68037.75,51419.001999999804
74,BR,3525.9,6922.126000000019
75,BROCK,2091.0,70.27800000002286
76,BRR,4628.96,1512.5689999999704
77,BRRGIF,3465.0,2170.298000000002
78,BSBM,1064.55,306.2069999999948
79,BTS,113122.0,201714.7880000008
80,BTSGIF,68298.38,51318.08100000008
81,BWG,3947.08,37554.733000000364
82,CBG,30750.0,137004.9360000005
83,CCET,8061.72,2898.520000000048
84,CCP,913.45,1071.5989999999913
85,CEN,782.4,1237.9240000000282
86,CENTEL,54000.02,148193.447
87,CFRESH,1900.55,358.09699999999503
88,CGD,11076.61,3576.878000000415
89,CGH,4163.42,1112.204999999999
90,CHG,21120.0,138435.7680000001
91,CHOTI,997.5,129.06500000000125
92,CI,1301.14,425.9290000000763
93,CIMBT,26813.13,1752.2470000000146
94,CITY,696.0,160.96499999999975
95,CK,42347.42,171734.55100000036
96,CKP,36555.19,223510.8529999996
97,CM,1501.71,946.622999999989
98,CMAN,2380.8,6087.9070000000365
99,CMR,9494.56,399.29600000001676
