,symbol,market-cap,VA100
486,TPIPP,47459.98,80795.63099999994
207,JASIF,54999.98,80315.12700000005
456,THANI,22501.1,77730.13600000017
478,TOA,66956.94,70127.55599999941
38,ASIAN,3717.68,68663.86000000022
2,AAV,20369.99,64606.73799999942
257,MBK,34915.42,62332.92900000004
124,DELTA,86692.94,61920.691999999915
308,PF,6414.19,60447.20100000009
347,RATCH,73587.5,60306.34199999981
178,GUNKUL,20772.13,60109.50900000001
514,UNIQ,10377.76,59385.053999999924
142,EPG,19180.0,57961.52799999977
123,DDD,5976.29,57730.523999999816
58,BEC,9640.0,57232.20399999988
143,ERW,15798.61,56147.692
168,GLAND,20279.46,55958.02499999993
360,S,21246.52,55471.81500000038
25,ANAN,10798.9,54614.32100000024
263,MEGA,24875.89,53641.47100000013
73,BPP,68037.75,51419.001999999804
80,BTSGIF,68298.38,51318.08100000008
163,GFPT,15045.85,51308.25200000003
71,BLAND,28080.85,51137.83100000047
312,PLANB,21530.59,48296.98699999997
433,SVI,11056.85,47855.87999999971
203,ITD,11298.85,46031.82499999925
70,BLA,44823.59,43766.03200000009
331,PRM,12875.0,42316.53399999989
485,TPIPL,40222.91,39823.45600000032
525,VNT,23703.86,38397.97999999994
504,TTW,49475.99,37713.73300000012
81,BWG,3947.08,37554.733000000364
381,SEAFCO,6220.27,36113.74600000003
211,JMT,9945.5,35983.62900000005
333,PSL,13487.88,34256.98500000003
352,RML,4631.45,34201.38700000013
533,WHAUP,21228.72,33882.308999999885
519,UV,11662.75,32852.07599999977
458,THE,1774.32,32715.174999999985
251,MAJOR,18430.15,30487.759999999904
503,TTCL,4158.0,30404.720000000263
436,SYNEX,8781.74,29477.35599999999
507,TVO,21428.19,29133.34199999993
167,GL,8161.63,28661.713000000527
111,CPNREIT,56418.14,28032.257999999998
332,PSH,37861.14,27013.313999999977
137,EGATIF,23357.6,26994.695
171,GOLD,16266.04,25982.639000000014
46,BA,24360.0,25717.794999999933
210,JMART,3480.35,25592.544000000264
249,M,68835.56,25164.5489999999
9,AH,6129.07,24943.67300000002
374,SCCC,61090.0,24837.776999999867
164,GGC,10083.11,24787.068000000265
361,SABINA,10425.0,24076.115000000005
250,MACO,6272.55,23721.527
121,DCC,12794.86,23555.08399999999
252,MAKRO,153600.0,23343.11800000005
437,SYNTEC,4352.0,23003.290000000103
377,SCN,5016.0,21958.14399999975
35,ASAP,2236.08,21859.36000000005
170,GLOCON,2183.89,21074.48
112,CPT,585.0,20929.31100000001
448,TEAMG,1217.2,20758.671
511,U,14371.11,20481.87600000011
213,JWD,7140.0,19209.394000000084
253,MALEE,2240.0,19143.42999999984
188,HUMAN,6324.0,18853.830999999893
534,WICE,2372.91,18762.47900000012
363,SAMART,6391.3,18112.252999999862
19,AMANAH,1307.71,18100.68999999998
367,SAT,6505.46,17970.53299999996
457,THCOM,6631.42,17849.60299999979
469,TKS,3361.65,17824.627000000022
459,THG,28019.64,17348.22599999997
64,BIG,4234.65,17256.349999999817
413,SQ,2360.92,16689.088999999876
383,SF,13058.06,16527.357000000033
427,STPI,6598.23,16260.564999999846
471,TLGF,46108.91,16197.657999999983
314,PLE,1511.62,15725.601000000082
292,NUSA,3591.31,15717.928999999831
278,MONO,5900.75,15387.235000000237
101,COL,14015.99,15193.223999999957
408,SPCG,17629.22,14900.74499999999
50,BAY,281357.8,14457.838000000005
192,III,3010.41,14135.831999999993
492,TRITN,3052.76,14082.597999999964
443,TCC,524.56,13171.732000000044
538,WP,2582.13,12500.481000000014
41,ASP,6443.31,11769.263
336,PTL,11700.0,11542.795999999573
518,UTP,6175.0,11402.655000000052
502,TTA,9476.81,11342.608999999678
354,ROJNA,9496.16,11145.588999999993
261,MCS,3325.0,11026.40700000013
141,EP,2432.95,10846.632999999923
532,WHART,25182.69,10757.970999999996
103,COTTO,11865.61,10746.982000000009
345,QHPF,10440.7,10642.21600000002
340,PYLON,5286.6,10628.776000000002
135,ECL,1707.64,10411.682000000055
156,FTREIT,29927.45,10341.892000000002
219,KGI,8445.07,10043.746000000016
418,SSP,7390.39,10007.478000000136
366,SAPPE,4169.84,9941.156000000085
313,PLAT,20300.0,9839.815000000011
147,EVER,1864.7,9763.918999999876
315,PM,5144.91,9666.207000000013
371,SC,11284.98,8777.192000000003
294,NWR,1990.82,8669.141999999982
348,RCI,2393.34,8510.082000000059
187,HTECH,1590.0,8017.094999999936
305,PDI,2712.0,7477.635999999862
223,KSL,13142.49,7468.947000000036
273,MK,3690.28,7465.822999999997
259,MC,8720.0,7390.862000000114
194,IMPACT,28167.5,7384.556999999985
522,VIBHA,26398.73,7247.22399999995
268,MILL,6716.4,7191.121999999952
