,market-cap,symbol,normal_name
321,8800.0,NTV,NONTHAVEJ HOSPITAL
322,3591.31,NUSA,NUSASIRI
323,3175.38,NVD,NIRVANA DAII ORS
324,1990.82,NWR,NAWARAT PATANAKARN
325,6150.4,NYT,NAMYONG TERMINAL
326,1032.0,OCC,OCC
327,703.91,OGC,OCEAN GLASS
328,7246.94,OHTL,OHTL
329,14156.25,OISHI,OISHI GROUP
330,16163.89,ORI,ORIGIN PROPERTY
331,73591.75,OSP,OSOTSPA
332,415.8,PAF,PAN ASIA FOOTWEAR
333,2257.2,PAP,PACIFIC PIPE
334,1850.84,PATO,PATO CHEMICAL IND.
335,27337.5,PB,PRESIDENT BAKERY
336,10598.75,PCSGH,PCS MACHINE GPHD.
337,2712.0,PDI,PADAENG INDUSTRY
338,900.24,PDJ,PRANDA JEWELRY
339,955.0,PERM,PERMSIN STEEL WORKS
340,6414.19,PF,PROPERTY PERFECT
341,518.4,PG,PEOPLE'S GARMENT
342,862.38,PK,PATKOL
343,1908.83,PL,PHATRA LEASING
344,21530.59,PLANB,PLAN B MEDIA
345,20300.0,PLAT,THE PLATINUM GROUP
346,1511.62,PLE,POWER LINE ENGR.
347,5144.91,PM,PREMIER MARKETING
348,1103.08,PMTA,PM THORESEN ASIA HDG.
349,6357.62,POPF,PRI.OFFE.LH.PPF. REIT
350,2152.8,PORT,SAHATHAI TERMINAL
351,1440.0,POST,BANGKOK POST ORS
352,2514.51,PPF,PINTHONG INDUSTRIAL PARK PROPERTY
353,810.0,PPP,PREMIER PRODUCTS
354,1542.76,PPPM,PP PRIME
355,8806.56,PR9,PRARAM 9 HOSPITAL
356,658.91,PRAKIT,PRAKIT HOLDINGS
357,2916.99,PREB,PRE-BUILT
358,540.96,PRECHA,PREECHA GROUP
359,8040.0,PRG,PATUM RICE MILL & GRNY.
360,747.76,PRIME,PRIME ROAD POWER
361,1915.42,PRIN,PRINSIRI
362,15228.39,PRINC,PRINCIPAL CAPITAL
363,12875.0,PRM,PRIMA MARINE
364,37861.14,PSH,PRUKSA HOLDING
365,13487.88,PSL,PRECIOUS SHIPPING
366,1618.17,PT,PREMIER TECHNOLOGY
367,14362.0,PTG,PTG ENERGY
368,11700.0,PTL,POLYPLEX (THAILAND)
369,1313897.0,PTT,PTT
370,450593.1,PTTEP,PTT EXPLORATION & PRDN.
