,market-cap,symbol,normal_name
582,3566.66,VIH,SRIVICHAI VEJVIVAT
583,7741.01,VNG,VANACHAI GROUP
584,23703.86,VNT,VINYTHAI
585,376.0,VPO,VICHITBHAN PALMOIL
587,375.65,W,WOW FACTOR
588,5640.0,WACOAL,THAI WACOAL
589,973.34,WAVE,WAVE ENTERTAINMENT
590,3195.15,WG,WHITE GROUP
591,61350.63,WHA,WHA
592,1999.8,WHABT,WHA BUS.CMX.FH.&. LH. REIT
593,25182.69,WHART,WHA PRUM.GW.FH.&. LH. REIT
594,21228.72,WHAUP,WHA UTILITIES AND POWER
595,2372.91,WICE,WICE LOGISTICS
596,719.88,WIIK,WIIK
597,303.02,WIN,WYNCOAST INDUSTRIAL PARK
598,10288.34,WORK,WORKPOINT ENTERTAINMENT
599,2582.13,WP,WP ENERGY
600,1392.0,WPH,WATTANAPAT HOSPITAL TRANG
602,1307.74,ZMICO,SEAMICO SECURITIES
