,ticker,industry,sector,volatility_5d,mean_price
99,CTW,Industrials,Industrial Materials & Machinery,0.013100622030188294,0.24832093757043042
100,CWT,Industrials,Automotive,0.0033402922755741303,0.3616090354266152
101,DCC,Property & Construction,Construction Materials,0.0038461538461538325,0.10700338933097558
102,DCON,Property & Construction,Construction Materials,0.003005508886850535,0.06134969325153374
103,DELTA,Technology,Electronic Components,0.005621826951410418,0.31158790974882933
104,DEMCO,Resources,Energy & Utilities,0.0034870591172880493,0.036565907277723596
105,DIF,Technology,Information & Communication Technology,0.009313154831199098,0.8023318569663557
106,DRT,Property & Construction,Construction Materials,0.0,0.4856655420216923
107,DTAC,ERROR,ERROR,0.0009876543209876632,0.2580199612128092
108,DTC,ERROR,ERROR,0.003381234150464885,0.4284289244501446
109,DTCI,Consumer Products,Home & Office Products,0.02998571234100483,0.36219958202716823
110,EA,Resources,Energy & Utilities,0.005907129604782552,0.6695556294735804
111,EASON,Industrials,Automotive,0.0,0.11644881165397954
112,EASTW,Resources,Energy & Utilities,0.0,0.41379310344827547
113,ECL,Financials,Finance & Securities,0.0,0.19802482134674818
114,EE,Agro & Food Industry,Agribusiness,0.0038880789567987085,0.06984735145654684
115,EGCO,Resources,Energy & Utilities,0.006072106261859567,0.7262608417486387
116,EMC,Property & Construction,Construction Services,0.02783511071344518,0.20994427028909793
117,EP,Resources,Energy & Utilities,0.00531475237003087,0.18624231301716093
118,ERW,Services,Tourism & Leisure,0.0034364261168384758,0.5677805427183316
119,ERWPF,Property & Construction,Property Fund & REITs,0.005050505050505016,0.05994814040791038
120,ESSO,Resources,Energy & Utilities,0.004256093755273729,0.35390593173579205
121,ESTAR,Property & Construction,Property Development,0.004255319148936198,0.13087959566316135
122,EVER,Property & Construction,Property Development,0.001209624564337376,0.04305378175109976
123,F&D,ERROR,ERROR,0.008557169407102853,0.0680620388495708
124,FANCY,Consumer Products,Home & Office Products,0.0008510638297872352,0.05458547322083639
125,FE,Services,Media & Publishing,0.03984674329501914,0.6615434300729585
126,FMT,Industrials,Industrial Materials & Machinery,0.008594700851870774,0.37345017018338245
127,FNS,Financials,Finance & Securities,0.0030055088868505076,0.31137907528853154
128,FORTH,Technology,Information & Communication Technology,0.0,0.18199233716475105
129,FPT,Property & Construction,Property Development,0.010841121495327056,0.6923693916281736
130,FSS,Financials,Finance & Securities,0.0,0.09004528039010795
131,FUTUREPF,Property & Construction,Property Fund & REITs,0.0,0.7946723477341789
132,GBX,Financials,Finance & Securities,0.0,0.08290633799566084
133,GC,Industrials,Petrochemicals & Chemicals,0.007070707070707004,0.43626881845272647
134,GEN,ERROR,ERROR,1.3877787807814457e-17,0.0687438649821095
135,GENCO,Services,Professional Services,0.000633914421553089,0.021081904900692817
136,GFPT,Agro & Food Industry,Agribusiness,0.0030075187969924593,0.5126321551003947
137,GIFT,Industrials,Petrochemicals & Chemicals,0.009180639009693408,0.2967213594220701
138,GJS,Industrials,Steel,0.0,0.01502089864158829
139,GL,Financials,Finance & Securities,0.00048680382699636544,0.032446728195836404
140,GLAND,Property & Construction,Property Development,0.009030376931919593,0.3858431767219309
141,GLOBAL,Services,Commerce,0.025330659228113398,0.7449731678940604
142,GLOCON,Industrials,Packaging,0.0008714596949891074,0.1270043990350504
143,GOLD,ERROR,ERROR,0.0,0.501853409338691
144,GOLDPF,ERROR,ERROR,0.0,0.8704358068315666
145,GRAMMY,Services,Media & Publishing,0.005122605727435998,0.28401395978747784
146,GRAND,Services,Tourism & Leisure,0.005129821450854801,0.11193356201480414
147,GREEN,Resources,Energy & Utilities,0.0008564649450290882,0.018440371888647753
148,GUNKUL,Resources,Energy & Utilities,0.005376344086021545,0.5347196473447864
149,GYT,Industrials,Automotive,5.551115123125783e-17,0.3196850115648781
150,HANA,Technology,Electronic Components,0.02040179135592501,0.19594611296502285
151,HFT,Industrials,Automotive,0.0020408163265305925,0.09850261943857995
152,HMPRO,Services,Commerce,0.0100389766989472,0.8233898923554096
153,HTC,Agro & Food Industry,Food & Beverage,0.006780176621913152,0.5000668270515904
154,HTECH,Industrials,Industrial Materials & Machinery,0.002310839379984102,0.20472059567700432
155,ICC,Consumer Products,Fashion,0.05860804592452667,0.7958257713248638
156,IFS,Financials,Finance & Securities,0.0032786885245902116,0.4290088562276239
157,IHL,Industrials,Automotive,0.002633859938476533,0.24172537387220375
158,ILINK,Technology,Information & Communication Technology,0.001988400994200501,0.09863916426211083
159,INET,Technology,Information & Communication Technology,0.004166666666666696,0.29019995210727967
160,INOX,Industrials,Steel,0.0,0.100622388654843
161,INSURE,Financials,Insurance,0.0,0.21145552374234067
